Address,पता,
Amended From,से संशोधित,
Balance Loan Amount,शेष ऋण की राशि,
Bank Name,बैंक का नाम,
Branch,शाखा,
Cancelled,रद्द,
Customer Name,ग्राहक का नाम,
Disabled,विकलांग,
Draft,प्रारूप,
Email,ईमेल,
Enabled,Enabled,
Image,छवि,
Interest,ब्याज,
Interest Amount,ब्याज राशि,
Is Accrued,माना जाता है,
Issuing Date,जारी करने की तारीख,
Journal Entry,जर्नल प्रविष्टि,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Loan Amount,उधार की राशि,
Mobile Number,मोबाइल नंबर,
Name,नाम,
Naming Series,श्रृंखला का नामकरण,
Nationality,राष्ट्रीयता,
Occupation,बायो,
Order Type,आदेश प्रकार,
Paid,भुगतान किया,
Partially Paid,आंशिक रूप से भुगतान किया,
Payment Date,भुगतान तिथि,
Percentage,का प्रतिशत,
Price,कीमत,
Principal Amount,मुख्य राशि,
Products,उत्पाद,
Reload,सीमा से अधिक लादना,
Schedule,अनुसूची,
Section,अनुभाग,
Section Name,अनुभाग का नाम,
Session Defaults,सत्र चूक,
Status,हैसियत,
System Manager,सिस्टम प्रबंधक,
Tax,कर,
Taxes,कर,
Total Payment,कुल भुगतान,
Type,टाइप,
Unpaid,अवैतनिक,
View Website,वेबसाइट देखें,
