Address,پته,
Amended From,تعدیل له,
Balance Loan Amount,د توازن د پور مقدار,
Bank Name,بانک نوم,
Branch,څانګه,
Cancelled,لغوه شوی,
Customer Name,پیریدونکي نوم,
Disabled,معلولينو,
Draft,مسوده,
Email,بریښنالیک,
Enabled,وتوانول شوه,
Image,د انځور,
Interest,په زړه پوري,
Interest Amount,په زړه مقدار,
Is Accrued,مصرف شوی دی,
Issuing Date,د جاري کولو نیټه,
Journal Entry,په ورځپانه کی ثبت شوی مطلب,
Keyboard Shortcuts,کيلي لنډلار,
Loan Amount,د پور مقدار,
Mobile Number,ګرځنده شمیره,
Name,نوم,
Naming Series,نوم لړۍ,
Nationality,تابعیت,
Occupation,وظيفه,
Order Type,نظم ډول,
Paid,ورکړل,
Partially Paid,یو څه تادیه شوې,
Payment Date,د تادیاتو نېټه,
Percentage,سلنه,
Price,د بیې,
Principal Amount,د مدیر مقدار,
Products,محصولات,
Reload,Reload,
Schedule,مهال ويش,
Section,برخه,
Section Name,د برخې نوم,
Session Defaults,د ناستې ټاکل,
Status,وضعیت,
System Manager,سيستم مدير,
Tax,د مالياتو,
Taxes,مالیات,
Total Payment,ټول تاديه,
Type,ډول,
Unpaid,معاش,
View Website,محتویات وېب پاڼه,
