Address,చిరునామా,
Amended From,సవరించిన,
Balance Loan Amount,సంతులనం రుణ మొత్తం,
Bank Name,బ్యాంకు పేరు,
Branch,బ్రాంచ్,
Cancelled,రద్దు,
Customer Name,వినియోగదారుని పేరు,
Disabled,వికలాంగుల,
Draft,డ్రాఫ్ట్,
Email,ఇమెయిల్,
Enabled,ప్రారంభించబడ్డ,
Image,చిత్రం,
Interest,వడ్డీ,
Interest Amount,వడ్డీ మొత్తం,
Is Accrued,పెరిగింది,
Issuing Date,జారీ తేదీ,
Journal Entry,జర్నల్ ఎంట్రీ,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Loan Amount,అప్పు మొత్తం,
Mobile Number,మొబైల్ నంబర్,
Name,పేరు,
Naming Series,నామకరణ సిరీస్,
Nationality,జాతీయత,
Occupation,వృత్తి,
Order Type,ఆర్డర్ రకం,
Paid,చెల్లింపు,
Partially Paid,పాక్షికంగా చెల్లించబడుతుంది,
Payment Date,చెల్లింపు తేదీ,
Percentage,శాతం,
Price,ధర,
Principal Amount,ప్రధాన మొత్తం,
Products,ఉత్పత్తులు,
Reload,Reload,
Schedule,షెడ్యూల్,
Section,విభాగం,
Section Name,విభాగం పేరు,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Status,స్థితి,
System Manager,వ్యవస్థ మేనేజర్,
Tax,పన్ను,
Taxes,పన్నులు,
Total Payment,మొత్తం చెల్లింపు,
Type,రకం,
Unpaid,చెల్లించని,
View Website,చూడండి వెబ్సైట్,
